epoch,train_loss,train_accuracy,val_accuracy,precision,recall,f1,tn,fp,fn,tp,lr
1.0,222.62165784835815,85.17504146613372,87.99313847023771,0.4015000916409367,0.38296956738075066,0.3920159680638723,618884.0,42451.0,45883.0,28478.0,0.0001
2.0,197.7198805809021,85.87768850096528,87.71802483634545,0.40624743597257224,0.46609109613910515,0.4341165860868258,610679.0,50656.0,39702.0,34659.0,0.0001
3.0,190.17292958498,86.3953014112081,87.50312629129424,0.4061104582843713,0.5112357284060193,0.45264956450815913,605741.0,55594.0,36345.0,38016.0,0.0001
4.0,184.5055428147316,86.78182015933872,87.61893499488919,0.4103086591879196,0.5144901225104558,0.45653120767528027,606351.0,54984.0,36103.0,38258.0,0.0001
5.0,180.40319103002548,86.98979661201294,87.71435484221743,0.4166874636053573,0.5388846303842068,0.46997284919280596,605239.0,56096.0,34289.0,40072.0,5e-05
6.0,176.08311492204666,87.36679854256737,87.8343772427742,0.4223833006961461,0.554026976506502,0.4793307659193242,604996.0,56339.0,33163.0,41198.0,5e-05
7.0,173.80689734220505,87.52940016858362,87.93387486135578,0.42438840086899027,0.5437931173599064,0.4767277357289383,606489.0,54846.0,33924.0,40437.0,5e-05
8.0,172.01456707715988,87.62959866220736,87.79699767295187,0.4223469202716044,0.563776710910289,0.482919889645957,603996.0,57339.0,32438.0,41923.0,5e-05
9.0,169.835578083992,87.83077738804144,88.47146103825493,0.44146040990032476,0.5300896975565148,0.48173246726265034,611463.0,49872.0,34943.0,39418.0,5e-05
10.0,167.71691274642944,87.93937107431275,88.409750766621,0.4374455200256916,0.512903269186805,0.47217871976923415,612287.0,49048.0,36221.0,38140.0,2.5e-05
11.0,164.26479524374008,88.18667237675722,88.20124072986668,0.43350364495371657,0.5453934185930797,0.48305392609355924,608337.0,52998.0,33805.0,40556.0,2.5e-05
12.0,162.75604262948036,88.32065557277646,88.3366227354777,0.4372326657746386,0.536114361022579,0.48165084964872323,610023.0,51312.0,34495.0,39866.0,2.5e-05
13.0,161.22167053818703,88.41823694156675,88.2871457776038,0.43618975578128377,0.542824867874289,0.4836999179154109,609160.0,52175.0,33996.0,40365.0,2.5e-05
14.0,159.86403623223305,88.52101857138973,87.9697592483852,0.42741910655460114,0.5600919837011337,0.4848431934064399,605541.0,55794.0,32712.0,41649.0,2.5e-05
15.0,158.27472522854805,88.62223672403948,87.06503773297666,0.402058554868115,0.5741584970616318,0.4729385440205591,597839.0,63496.0,31666.0,42695.0,1.25e-05
16.0,156.36814641952515,88.7735881121353,88.3339042213088,0.4375599024135227,0.5402697650650207,0.48352058347424737,609694.0,51641.0,34186.0,40175.0,1.25e-05
17.0,155.55661737918854,88.79904559915164,88.17650225092973,0.43246164052301567,0.5435241591694571,0.4816737079830054,608294.0,53041.0,33944.0,40417.0,1.25e-05
18.0,154.92597609758377,88.86549337901405,88.36122528870621,0.4378633600670734,0.5337609768561478,0.4810797052264133,610379.0,50956.0,34670.0,39691.0,1.25e-05
19.0,154.14841464161873,88.90383255839248,88.18017224505775,0.4321362769499305,0.539355307217493,0.4798291579929653,608631.0,52704.0,34254.0,40107.0,1.25e-05
20.0,153.3279411792755,88.95967588438427,88.15584154324613,0.4316338106551938,0.5423676389505251,0.48070608287296107,608228.0,53107.0,34030.0,40331.0,6.25e-06
21.0,152.43158766627312,89.01470348315523,88.22135773471652,0.4334365660328323,0.5382794744556959,0.48020202868471407,609014.0,52321.0,34334.0,40027.0,6.25e-06
22.0,152.15662345290184,89.06174375288903,88.18166742785063,0.4325913706671237,0.5430938260647382,0.48158505100854415,608364.0,52971.0,33976.0,40385.0,6.25e-06
23.0,151.6184554696083,89.0884248307366,88.25465953328549,0.43462360690605634,0.538602224284235,0.48105842221581624,609235.0,52100.0,34310.0,40051.0,6.25e-06
24.0,151.38866090774536,89.11979634010387,88.04030469106804,0.4287358005062656,0.5512029155067845,0.48231673952566145,606721.0,54614.0,33373.0,40988.0,6.25e-06
25.0,151.16940850019455,89.1401895206243,88.05661577608143,0.4289486974453937,0.5482578233213647,0.4813199138160031,607060.0,54275.0,33592.0,40769.0,3.125e-06
